step,t_s,truth_x,truth_y,truth_theta,odom_x,odom_y,odom_theta,err_xy,err_yaw_deg
121,12.1,3.723071,9.955316,-1.038578,3.723071,9.955316,-1.038578,0.0,0.0
122,12.2,3.755434,9.904793,-1.001078,3.755434,9.904793,-1.001078,0.0,0.0
123,12.3,3.78967,9.855518,-0.963578,3.78967,9.855518,-0.963578,0.0,0.0
124,12.4,3.825728,9.807562,-0.926078,3.825728,9.807562,-0.926078,0.0,0.0
125,12.5,3.863559,9.760992,-0.888578,3.863559,9.760992,-0.888578,0.0,0.0
126,12.6,3.903109,9.715872,-0.851078,3.903109,9.715872,-0.851078,0.0,0.0
127,12.7,3.944323,9.672267,-0.813578,3.944323,9.672267,-0.813578,0.0,0.0
128,12.8,3.987143,9.630238,-0.776078,3.987143,9.630238,-0.776078,0.0,0.0
129,12.9,4.031509,9.589844,-0.738578,4.031509,9.589844,-0.738578,0.0,0.0
130,13.0,4.077358,9.551141,-0.701078,4.077358,9.551141,-0.701078,0.0,0.0
131,13.1,4.124625,9.514185,-0.663578,4.124625,9.514185,-0.663578,0.0,0.0
132,13.2,4.173245,9.479027,-0.626078,4.173245,9.479027,-0.626078,0.0,0.0
133,13.3,4.223149,9.445716,-0.588578,4.223149,9.445716,-0.588578,0.0,0.0
134,13.4,4.274267,9.414299,-0.551078,4.274267,9.414299,-0.551078,0.0,0.0
135,13.5,4.326526,9.384822,-0.513578,4.326526,9.384822,-0.513578,0.0,0.0
136,13.6,4.379854,9.357324,-0.476078,4.379854,9.357324,-0.476078,0.0,0.0
137,13.7,4.434176,9.331845,-0.438578,4.434176,9.331845,-0.438578,0.0,0.0
138,13.8,4.489414,9.30842,-0.401078,4.489414,9.30842,-0.401078,0.0,0.0
139,13.9,4.545492,9.287083,-0.363578,4.545492,9.287083,-0.363578,0.0,0.0
140,14.0,4.60233,9.267863,-0.326078,4.60233,9.267863,-0.326078,0.0,0.0
141,14.1,4.659849,9.250788,-0.288578,4.659849,9.250788,-0.288578,0.0,0.0
142,14.2,4.717968,9.235881,-0.251078,4.717968,9.235881,-0.251078,0.0,0.0
143,14.3,4.776605,9.223163,-0.213578,4.776605,9.223163,-0.213578,0.0,0.0
144,14.4,4.835677,9.212653,-0.176078,4.835677,9.212653,-0.176078,0.0,0.0
145,14.5,4.895102,9.204365,-0.138578,4.895102,9.204365,-0.138578,0.0,0.0
146,14.6,4.954796,9.19831,-0.101078,4.954796,9.19831,-0.101078,0.0,0.0
147,14.7,5.014674,9.194498,-0.063578,5.014674,9.194498,-0.063578,0.0,0.0
148,14.8,5.074654,9.192934,-0.026078,5.074654,9.192934,-0.026078,0.0,0.0
149,14.9,5.13465,9.193619,0.011422,5.13465,9.193619,0.011422,0.0,0.0
150,15.0,5.194578,9.196553,0.048922,5.194578,9.196553,0.048922,0.0,0.0
151,15.1,5.254354,9.201732,0.086422,5.254354,9.201732,0.086422,0.0,0.0
152,15.2,5.313894,9.209148,0.123922,5.313894,9.209148,0.123922,0.0,0.0
153,15.3,5.373114,9.218792,0.161422,5.373114,9.218792,0.161422,0.0,0.0
154,15.4,5.431931,9.230649,0.198922,5.431931,9.230649,0.198922,0.0,0.0
155,15.5,5.490262,9.244702,0.236422,5.490262,9.244702,0.236422,0.0,0.0
156,15.6,5.548025,9.260933,0.273922,5.548025,9.260933,0.273922,0.0,0.0
157,15.7,5.605139,9.279317,0.311422,5.605139,9.279317,0.311422,0.0,0.0
158,15.8,5.661524,9.29983,0.348922,5.661524,9.29983,0.348922,0.0,0.0
159,15.9,5.717099,9.322443,0.386422,5.717099,9.322443,0.386422,0.0,0.0
160,16.0,5.771788,9.347123,0.423922,5.771788,9.347123,0.423922,0.0,0.0
161,16.1,5.825514,9.373837,0.461422,5.825514,9.373837,0.461422,0.0,0.0
162,16.2,5.878199,9.402545,0.498922,5.878199,9.402545,0.498922,0.0,0.0
163,16.3,5.929772,9.433209,0.536422,5.929772,9.433209,0.536422,0.0,0.0
164,16.4,5.980159,9.465785,0.573922,5.980159,9.465785,0.573922,0.0,0.0
165,16.5,6.029289,9.500227,0.611422,6.029289,9.500227,0.611422,0.0,0.0
166,16.6,6.077093,9.536487,0.648922,6.077093,9.536487,0.648922,0.0,0.0
167,16.7,6.123504,9.574513,0.686422,6.123504,9.574513,0.686422,0.0,0.0
168,16.8,6.168457,9.614253,0.723922,6.168457,9.614253,0.723922,0.0,0.0
169,16.9,6.211888,9.65565,0.761422,6.211888,9.65565,0.761422,0.0,0.0
170,17.0,6.253737,9.698646,0.798922,6.253737,9.698646,0.798922,0.0,0.0
171,17.1,6.293944,9.743181,0.836422,6.293944,9.743181,0.836422,0.0,0.0
172,17.2,6.332454,9.789192,0.873922,6.332454,9.789192,0.873922,0.0,0.0
173,17.3,6.369211,9.836615,0.911422,6.369211,9.836615,0.911422,0.0,0.0
174,17.4,6.404165,9.885382,0.948922,6.404165,9.885382,0.948922,0.0,0.0
175,17.5,6.437265,9.935425,0.986422,6.437265,9.935425,0.986422,0.0,0.0
176,17.6,6.468467,9.986675,1.023922,6.468467,9.986675,1.023922,0.0,0.0
177,17.7,6.497724,10.039058,1.061422,6.497724,10.039058,1.061422,0.0,0.0
178,17.8,6.524998,10.092501,1.098922,6.524998,10.092501,1.098922,0.0,0.0
179,17.9,6.550248,10.146929,1.136422,6.550248,10.146929,1.136422,0.0,0.0
180,18.0,6.573441,10.202265,1.173922,6.573441,10.202265,1.173922,0.0,0.0
181,18.1,6.594542,10.258432,1.211422,6.594542,10.258432,1.211422,0.0,0.0
182,18.2,6.613523,10.315351,1.248922,6.613523,10.315351,1.248922,0.0,0.0
183,18.3,6.630356,10.372941,1.286422,6.630356,10.372941,1.286422,0.0,0.0
184,18.4,6.645019,10.431122,1.323922,6.645019,10.431122,1.323922,0.0,0.0
185,18.5,6.657489,10.489812,1.361422,6.657489,10.489812,1.361422,0.0,0.0
186,18.6,6.667751,10.548928,1.398922,6.667751,10.548928,1.398922,0.0,0.0
187,18.7,6.675789,10.608387,1.436422,6.675789,10.608387,1.436422,0.0,0.0
188,18.8,6.681593,10.668105,1.473922,6.681593,10.668105,1.473922,0.0,0.0
189,18.9,6.685153,10.728,1.511422,6.685153,10.728,1.511422,0.0,0.0
190,19.0,6.686466,10.787985,1.548922,6.686466,10.787985,1.548922,0.0,0.0
