step,t_s,truth_x,truth_y,truth_theta,odom_x,odom_y,odom_theta,err_xy,err_yaw_deg
120,12.0,3.692624,10.007017,-1.076078,3.879588,9.759268,-0.875467,0.310379,-11.4942
121,12.1,3.723071,9.955316,-1.038578,3.922163,9.711957,-0.838047,0.314422,-11.4896
122,12.2,3.755434,9.904793,-1.001078,3.967125,9.665665,-0.799955,0.319366,-11.5235
123,12.3,3.78967,9.855518,-0.963578,4.015033,9.619861,-0.762963,0.326073,-11.4944
124,12.4,3.825728,9.807562,-0.926078,4.061938,9.578422,-0.723602,0.32909,-11.601
125,12.5,3.863559,9.760992,-0.888578,4.107798,9.541261,-0.680998,0.328533,-11.8935
126,12.6,3.903109,9.715872,-0.851078,4.161743,9.500887,-0.642492,0.336318,-11.9511
127,12.7,3.944323,9.672267,-0.813578,4.215561,9.463878,-0.602407,0.342047,-12.0992
128,12.8,3.987143,9.630238,-0.776078,4.26222,9.434458,-0.562563,0.337634,-12.2335
129,12.9,4.031509,9.589844,-0.738578,4.316638,9.403081,-0.523032,0.34085,-12.3499
130,13.0,4.077358,9.551141,-0.701078,4.369538,9.37526,-0.484162,0.341033,-12.4284
131,13.1,4.124625,9.514185,-0.663578,4.425985,9.348509,-0.442559,0.343898,-12.6635
132,13.2,4.173245,9.479027,-0.626078,4.484856,9.323397,-0.403195,0.348313,-12.7703
133,13.3,4.223149,9.445716,-0.588578,4.547994,9.299281,-0.364861,0.356325,-12.8181
134,13.4,4.274267,9.414299,-0.551078,4.606512,9.279309,-0.328892,0.358621,-12.7303
135,13.5,4.326526,9.384822,-0.513578,4.671436,9.260097,-0.287709,0.366768,-12.9413
136,13.6,4.379854,9.357324,-0.476078,4.73519,9.244016,-0.24708,0.372964,-13.1206
137,13.7,4.434176,9.331845,-0.438578,4.797164,9.230982,-0.207301,0.376741,-13.2512
138,13.8,4.489414,9.30842,-0.401078,4.858529,9.220555,-0.168308,0.379428,-13.3368
139,13.9,4.545492,9.287083,-0.363578,4.92119,9.212611,-0.126098,0.383008,-13.6066
140,14.0,4.60233,9.267863,-0.326078,4.985614,9.207003,-0.086832,0.388085,-13.7078
141,14.1,4.659849,9.250788,-0.288578,5.046803,9.204024,-0.048648,0.389769,-13.747
142,14.2,4.717968,9.235881,-0.251078,5.114609,9.20346,-0.008323,0.397963,-13.9088
143,14.3,4.776605,9.223163,-0.213578,5.177782,9.205381,0.030403,0.401571,-13.9791
144,14.4,4.835677,9.212653,-0.176078,5.23731,9.209534,0.069653,0.401645,-14.0793
145,14.5,4.895102,9.204365,-0.138578,5.302547,9.216626,0.108292,0.407629,-14.1446
146,14.6,4.954796,9.19831,-0.101078,5.364191,9.22577,0.147252,0.410315,-14.2283
147,14.7,5.014674,9.194498,-0.063578,5.426455,9.237334,0.18364,0.414002,-14.1646
148,14.8,5.074654,9.192934,-0.026078,5.487228,9.251014,0.221413,0.416642,-14.1802
149,14.9,5.13465,9.193619,0.011422,5.550686,9.267851,0.259343,0.422606,-14.2049
150,15.0,5.194578,9.196553,0.048922,5.612496,9.287078,0.301577,0.427609,-14.4761
151,15.1,5.254354,9.201732,0.086422,5.671006,9.307763,0.339824,0.429932,-14.5189
152,15.2,5.313894,9.209148,0.123922,5.730064,9.331297,0.379195,0.433725,-14.6261
153,15.3,5.373114,9.218792,0.161422,5.784881,9.355739,0.419434,0.433943,-14.783
154,15.4,5.431931,9.230649,0.198922,5.846801,9.386289,0.458325,0.443104,-14.8627
155,15.5,5.490262,9.244702,0.236422,5.901682,9.415967,0.495741,0.445643,-14.8579
156,15.6,5.548025,9.260933,0.273922,5.956775,9.448453,0.532778,0.449711,-14.8314
157,15.7,5.605139,9.279317,0.311422,6.006871,9.480886,0.574552,0.449465,-15.0763
158,15.8,5.661524,9.29983,0.348922,6.056076,9.515714,0.615955,0.449753,-15.2999
159,15.9,5.717099,9.322443,0.386422,6.109631,9.556921,0.655816,0.457232,-15.4351
160,16.0,5.771788,9.347123,0.423922,6.159134,9.598519,0.698851,0.461775,-15.7523
161,16.1,5.825514,9.373837,0.461422,6.205343,9.640468,0.737115,0.464072,-15.796
162,16.2,5.878199,9.402545,0.498922,6.247386,9.681776,0.776568,0.462892,-15.9079
163,16.3,5.929772,9.433209,0.536422,6.293505,9.730978,0.817742,0.470072,-16.1185
164,16.4,5.980159,9.465785,0.573922,6.332969,9.776404,0.855513,0.470063,-16.134
165,16.5,6.029289,9.500227,0.611422,6.371409,9.824394,0.895436,0.471307,-16.2728
166,16.6,6.077093,9.536487,0.648922,6.408444,9.874596,0.935213,0.473404,-16.4033
167,16.7,6.123504,9.574513,0.686422,6.444348,9.927443,0.974028,0.47697,-16.4786
168,16.8,6.168457,9.614253,0.723922,6.477589,9.980818,1.01379,0.479513,-16.6082
169,16.9,6.211888,9.65565,0.761422,6.508587,10.035375,1.05411,0.481893,-16.7698
170,17.0,6.253737,9.698646,0.798922,6.540039,10.096354,1.094594,0.490041,-16.9408
171,17.1,6.293944,9.743181,0.836422,6.566944,10.153505,1.130808,0.492843,-16.8671
172,17.2,6.332454,9.789192,0.873922,6.592182,10.212497,1.166533,0.496634,-16.7654
173,17.3,6.369211,9.836615,0.911422,6.613067,10.267434,1.20751,0.495046,-16.9646
174,17.4,6.404165,9.885382,0.948922,6.63381,10.32916,1.246604,0.499676,-17.0559
175,17.5,6.437265,9.935425,0.986422,6.650109,10.384687,1.285283,0.497131,-17.1235
176,17.6,6.468467,9.986675,1.023922,6.664893,10.443831,1.325852,0.49757,-17.2993
177,17.7,6.497724,10.039058,1.061422,6.679108,10.512141,1.365634,0.506664,-17.4301
178,17.8,6.524998,10.092501,1.098922,6.68925,10.57195,1.402814,0.506804,-17.4117
179,17.9,6.550248,10.146929,1.136422,6.697329,10.63426,1.441858,0.509042,-17.5002
180,18.0,6.573441,10.202265,1.173922,6.702642,10.693568,1.481451,0.508007,-17.6201
181,18.1,6.594542,10.258432,1.211422,6.705493,10.753047,1.522911,0.506906,-17.847
